Reference,MPN,Footprint,Pin,Function,Expected net,Pad X mm,Pad Y mm,Pad width mm,Pad height mm,Manufacturer source
R32,ERJ2RKF1202X,hub-lib:R_0402_1005Metric,1,,HUB_RBIAS,-0.51,0,0.54,0.64,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C307.pdf
R32,ERJ2RKF1202X,hub-lib:R_0402_1005Metric,2,,GND2,0.51,0,0.54,0.64,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C307.pdf
U33,TPS3808G33DBVR,hub-lib:SOT-23-6,1,RESET_N,HUB_RESET_N,-1.1375,-0.95,1.325,0.6,https://www.ti.com/lit/ds/symlink/tps3808.pdf
U33,TPS3808G33DBVR,hub-lib:SOT-23-6,2,GND,GND2,-1.1375,0,1.325,0.6,https://www.ti.com/lit/ds/symlink/tps3808.pdf
U33,TPS3808G33DBVR,hub-lib:SOT-23-6,3,MR_N,HOST_PRESENT,-1.1375,0.95,1.325,0.6,https://www.ti.com/lit/ds/symlink/tps3808.pdf
U33,TPS3808G33DBVR,hub-lib:SOT-23-6,4,CT,NC,1.1375,0.95,1.325,0.6,https://www.ti.com/lit/ds/symlink/tps3808.pdf
U33,TPS3808G33DBVR,hub-lib:SOT-23-6,5,SENSE,ISO_3V3,1.1375,0,1.325,0.6,https://www.ti.com/lit/ds/symlink/tps3808.pdf
U33,TPS3808G33DBVR,hub-lib:SOT-23-6,6,VDD,ISO_3V3,1.1375,-0.95,1.325,0.6,https://www.ti.com/lit/ds/symlink/tps3808.pdf
R33,ERJ2RKF1002X,hub-lib:R_0402_1005Metric,1,,ISO_3V3,-0.51,0,0.54,0.64,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C307.pdf
R33,ERJ2RKF1002X,hub-lib:R_0402_1005Metric,2,,HUB_RESET_N,0.51,0,0.54,0.64,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C307.pdf
R34,ERJ2RKF4701X,hub-lib:R_0402_1005Metric,1,,ISO_3V3,-0.51,0,0.54,0.64,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C307.pdf
R34,ERJ2RKF4701X,hub-lib:R_0402_1005Metric,2,,HUB_SCL,0.51,0,0.54,0.64,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C307.pdf
R35,ERJ2RKF1002X,hub-lib:R_0402_1005Metric,1,,ISO_3V3,-0.51,0,0.54,0.64,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C307.pdf
R35,ERJ2RKF1002X,hub-lib:R_0402_1005Metric,2,,HUB_CFG1,0.51,0,0.54,0.64,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C307.pdf
R36,ERJ2RKF4701X,hub-lib:R_0402_1005Metric,1,,ISO_3V3,-0.51,0,0.54,0.64,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C307.pdf
R36,ERJ2RKF4701X,hub-lib:R_0402_1005Metric,2,,HUB_SDA,0.51,0,0.54,0.64,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C307.pdf
R37,ERJ2RKF1001X,hub-lib:R_0402_1005Metric,1,,HOST_PRESENT,-0.51,0,0.54,0.64,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C307.pdf
R37,ERJ2RKF1001X,hub-lib:R_0402_1005Metric,2,,HUB_VBUS_DET,0.51,0,0.54,0.64,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C307.pdf
R31,ERJ2RKF1003X,hub-lib:R_0402_1005Metric,1,,HUB_VBUS_DET,-0.51,0,0.54,0.64,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C307.pdf
R31,ERJ2RKF1003X,hub-lib:R_0402_1005Metric,2,,GND2,0.51,0,0.54,0.64,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C307.pdf
C42,GRM155R71H104KE14D,hub-lib:C_0402_1005Metric,1,,ISO_3V3,-0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GRM155R71H104KE14%23
C42,GRM155R71H104KE14D,hub-lib:C_0402_1005Metric,2,,GND2,0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GRM155R71H104KE14%23
U34,24LC02B-I/SN,hub-lib:SOIC-8_3.9x4.9mm_P1.27mm,1,A0,GND2,-2.475,-1.905,1.95,0.6,https://ww1.microchip.com/downloads/en/DeviceDoc/21709c.pdf
U34,24LC02B-I/SN,hub-lib:SOIC-8_3.9x4.9mm_P1.27mm,2,A1,GND2,-2.475,-0.635,1.95,0.6,https://ww1.microchip.com/downloads/en/DeviceDoc/21709c.pdf
U34,24LC02B-I/SN,hub-lib:SOIC-8_3.9x4.9mm_P1.27mm,3,A2,GND2,-2.475,0.635,1.95,0.6,https://ww1.microchip.com/downloads/en/DeviceDoc/21709c.pdf
U34,24LC02B-I/SN,hub-lib:SOIC-8_3.9x4.9mm_P1.27mm,4,GND,GND2,-2.475,1.905,1.95,0.6,https://ww1.microchip.com/downloads/en/DeviceDoc/21709c.pdf
U34,24LC02B-I/SN,hub-lib:SOIC-8_3.9x4.9mm_P1.27mm,5,SDA,HUB_SDA,2.475,1.905,1.95,0.6,https://ww1.microchip.com/downloads/en/DeviceDoc/21709c.pdf
U34,24LC02B-I/SN,hub-lib:SOIC-8_3.9x4.9mm_P1.27mm,6,SCL,HUB_SCL,2.475,0.635,1.95,0.6,https://ww1.microchip.com/downloads/en/DeviceDoc/21709c.pdf
U34,24LC02B-I/SN,hub-lib:SOIC-8_3.9x4.9mm_P1.27mm,7,WP,GND2,2.475,-0.635,1.95,0.6,https://ww1.microchip.com/downloads/en/DeviceDoc/21709c.pdf
U34,24LC02B-I/SN,hub-lib:SOIC-8_3.9x4.9mm_P1.27mm,8,VCC,ISO_3V3,2.475,-1.905,1.95,0.6,https://ww1.microchip.com/downloads/en/DeviceDoc/21709c.pdf
C98,GRM155R71H104KE14D,hub-lib:C_0402_1005Metric,1,,ISO_3V3,-0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GRM155R71H104KE14%23
C98,GRM155R71H104KE14D,hub-lib:C_0402_1005Metric,2,,GND2,0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GRM155R71H104KE14%23
TP12,,hub-lib:TestPoint_Pad_D1.0mm,1,1,ISO_3V3,0,0,1,1,
TP13,,hub-lib:TestPoint_Pad_D1.0mm,1,1,HUB_RESET_N,0,0,1,1,
TP14,,hub-lib:TestPoint_Pad_D1.0mm,1,1,HUB_SDA,0,0,1,1,
TP15,,hub-lib:TestPoint_Pad_D1.0mm,1,1,HUB_SCL,0,0,1,1,
TP16,,hub-lib:TestPoint_Pad_D1.0mm,1,1,GND2,0,0,1,1,
